species,expansion,stability,unfilling,,,,
Iraota_timoleon_dynamic_index_w,0.04,0.96,0.00,,,,
Isoteinon_lamprospilus_dynamic_index_w,0.27,0.73,0.13,,,,
Ixias_pyrene_dynamic_index_w,0.09,0.91,0.00,,,,
Jamides_alecto_dynamic_index_w,0.07,0.93,0.02,,,,
Jamides_bochus_dynamic_index_w,0.07,0.93,0.06,,,,
Jamides_celeno_dynamic_index_w,0.02,0.98,0.01,,,,
Junonia_almana_dynamic_index_w,0.14,0.86,0.00,,,,
Junonia_atlites_dynamic_index_w,0.09,0.91,0.00,,,,
Junonia_hedonia_dynamic_index_w,0.12,0.88,0.16,,,,
Junonia_hierta_dynamic_index_w,0.13,0.87,0.01,,,,
Junonia_iphita_dynamic_index_w,0.02,0.98,0.01,,,,
Junonia_lemonias_dynamic_index_w,0.09,0.91,0.00,,,,
Junonia_orithya_dynamic_index_w,0.07,0.93,0.00,,,,
Kallima_inachus_dynamic_index_w,0.15,0.85,0.03,,,,
Kallima_sylvia_dynamic_index_w,0.05,0.95,0.01,,,,
Lampides_boeticus_dynamic_index_w,0.08,0.92,0.00,,,,
Lamproptera_curius_dynamic_index_w,0.15,0.85,0.05,,,,
Lebadea_martha_dynamic_index_w,0.10,0.90,0.05,,,,
Leptosia_nina_dynamic_index_w,0.12,0.88,0.00,,,,
Leptotes_plinius_dynamic_index_w,0.19,0.81,0.03,,,,
Lethe_confusa_dynamic_index_w,0.04,0.96,0.01,,,,
Lethe_europa_dynamic_index_w,0.03,0.97,0.02,,,,
Lexias_pardalis_dynamic_index_w,0.27,0.73,0.23,,,,
Libythea_lepita_dynamic_index_w,0.55,0.45,0.23,,,,
Limenitis_procris_dynamic_index_w,0.14,0.86,0.02,,,,
Limenitis_sulpitia_dynamic_index_w,0.29,0.71,0.07,,,,
Loxura_atymnus_dynamic_index_w,0.18,0.82,0.01,,,,
Luthrodes_pandava_dynamic_index_w,0.14,0.86,0.04,,,,
Lycaena_phlaeas_dynamic_index_w,0.09,0.91,0.49,,,,
Matapa_aria_dynamic_index_w,0.14,0.86,0.00,,,,
Megisba_malaya_dynamic_index_w,0.12,0.88,0.01,,,,
Melanitis_leda_dynamic_index_w,0.09,0.91,0.00,,,,
Melanitis_phedima_dynamic_index_w,0.13,0.87,0.01,,,,
Mycalesis_horsfieldii_dynamic_index_w,0.41,0.59,0.20,,,,
Mycalesis_mineus_dynamic_index_w,0.02,0.98,0.01,,,,
Mycalesis_perseoides_dynamic_index_w,0.20,0.80,0.21,,,,
Mycalesis_perseus_dynamic_index_w,0.03,0.97,0.00,,,,
Nacaduba_kurava_dynamic_index_w,0.10,0.90,0.03,,,,
Neope_muirheadii_dynamic_index_w,0.17,0.83,0.17,,,,
Neopithecops_zalmora_dynamic_index_w,0.28,0.72,0.02,,,,
Neptis_clinia_dynamic_index_w,0.14,0.86,0.04,,,,
Neptis_hylas_dynamic_index_w,0.05,0.95,0.01,,,,
Neptis_sappho_dynamic_index_w,0.41,0.59,0.12,,,,
Notocrypta_curvifascia_dynamic_index_w,0.08,0.92,0.00,,,,
Notocrypta_paralysos_dynamic_index_w,0.12,0.88,0.01,,,,
Odontoptilum_angulata_dynamic_index_w,0.20,0.80,0.04,,,,
Orsotriaena_medus_dynamic_index_w,0.17,0.83,0.03,,,,
Pachliopta_aristolochiae_dynamic_index_w,0.13,0.87,0.02,,,,
Pachliopta_hector_dynamic_index_w,0.18,0.82,0.07,,,,
Pantoporia_hordonia_dynamic_index_w,0.03,0.97,0.01,,,,
Papilio_bianor_dynamic_index_w,0.14,0.86,0.15,,,,
Papilio_clytia_dynamic_index_w,0.47,0.53,0.40,,,,
Papilio_demoleus_dynamic_index_w,0.19,0.81,0.04,,,,
Papilio_helenus_dynamic_index_w,0.03,0.97,0.00,,,,
Papilio_memnon_dynamic_index_w,0.03,0.97,0.00,,,,
Papilio_nephelus_dynamic_index_w,0.02,0.98,0.03,,,,
Papilio_paris_dynamic_index_w,0.02,0.98,0.00,,,,
Papilio_polymnestor_dynamic_index_w,0.19,0.81,0.24,,,,
Papilio_polytes_dynamic_index_w,0.06,0.94,0.00,,,,
Papilio_protenor_dynamic_index_w,0.22,0.78,0.03,,,,
Papilio_xuthus_dynamic_index_w,0.62,0.38,0.27,,,,
Parantica_aglea_dynamic_index_w,0.13,0.87,0.02,,,,
Parantica_agleoides_dynamic_index_w,0.26,0.74,0.15,,,,
Parantica_sita_dynamic_index_w,0.24,0.76,0.10,,,,
Parathyma_nefte_dynamic_index_w,0.07,0.93,0.01,,,,
Parathyma_perius_dynamic_index_w,0.38,0.62,0.03,,,,
Parathyma_selenophora_dynamic_index_w,0.14,0.86,0.01,,,,
Pareronia_hippia_dynamic_index_w,0.10,0.90,0.07,,,,
Pelopidas_mathias_dynamic_index_w,0.12,0.88,0.05,,,,
Phaedyma_columella_dynamic_index_w,0.44,0.56,0.37,,,,
Phalanta_phalantha_dynamic_index_w,0.06,0.94,0.01,,,,
Pieris_canidia_dynamic_index_w,0.06,0.94,0.01,,,,
Pieris_rapae_dynamic_index_w,0.53,0.47,0.25,,,,
Polygonia_c-aureum_dynamic_index_w,0.67,0.33,0.20,,,,
Polytremis_lubricans_dynamic_index_w,0.20,0.80,0.14,,,,
Polyura_athamas_dynamic_index_w,0.03,0.97,0.02,,,,
Potanthus_omaha_dynamic_index_w,0.18,0.82,0.41,,,,
Prosotas_dubiosa_dynamic_index_w,0.05,0.95,0.02,,,,
Prosotas_nora_dynamic_index_w,0.01,0.99,0.01,,,,
Pseudocoladenia_dan_dynamic_index_w,0.07,0.93,0.01,,,,
Pseudozizeeria_maha_dynamic_index_w,0.20,0.80,0.01,,,,
Rapala_manea_dynamic_index_w,0.03,0.97,0.02,,,,
Rathinda_amor_dynamic_index_w,0.08,0.92,0.11,,,,
Remelana_jangala_dynamic_index_w,0.26,0.74,0.11,,,,
Spalgis_epius_dynamic_index_w,0.04,0.96,0.01,,,,
Suastus_gremius_dynamic_index_w,0.16,0.84,0.03,,,,
Symbrenthia_hypselis_dynamic_index_w,0.06,0.94,0.01,,,,
Tagiades_japetus_dynamic_index_w,0.03,0.97,0.01,,,,
Tagiades_litigiosa_dynamic_index_w,0.22,0.78,0.03,,,,
Tajuria_cippus_dynamic_index_w,0.09,0.91,0.10,,,,
Talicada_nyseus_dynamic_index_w,0.02,0.98,0.02,,,,
Tanaecia_iapis_dynamic_index_w,0.61,0.39,0.37,,,,
Tanaecia_lepidea_dynamic_index_w,0.19,0.81,0.01,,,,
Tanaecia_pelea_dynamic_index_w,0.58,0.42,0.32,,,,
Telicota_bambusae_dynamic_index_w,0.01,0.99,0.03,,,,
Tirumala_limniace_dynamic_index_w,0.06,0.94,0.03,,,,
Tirumala_septentrionis_dynamic_index_w,0.02,0.98,0.01,,,,
Troides_helena_dynamic_index_w,0.15,0.85,0.04,,,,
Udaspes_folus_dynamic_index_w,0.12,0.88,0.07,,,,
Vanessa_canace_dynamic_index_w,0.21,0.79,0.03,,,,
Vanessa_cardui_dynamic_index_w,0.03,0.97,0.05,,,,
Vanessa_indica_dynamic_index_w,0.14,0.86,0.06,,,,
Vindula_erota_dynamic_index_w,0.03,0.97,0.01,,,,
Ypthima_baldus_dynamic_index_w,0.15,0.85,0.05,,,,
Ypthima_huebneri_dynamic_index_w,0.02,0.98,0.03,,,,
Ypthima_multistriata_dynamic_index_w,0.32,0.68,0.06,,,,
Zeltus_amasa_dynamic_index_w,0.12,0.88,0.01,,,,
Zemeros_flegyas_dynamic_index_w,0.11,0.89,0.03,,,,
Zizeeria_karsandra_dynamic_index_w,0.12,0.88,0.04,,,,
Zizina_otis_dynamic_index_w,0.05,0.95,0.02,,,,
Zizula_hylax_dynamic_index_w,0.10,0.90,0.02,,,,
