model,threshold,thr_value,n_presences,n_absences,TPR_mean,TPR_sd,TNR_mean,TNR_sd,SORENSEN_mean,SORENSEN_sd,JACCARD_mean,JACCARD_sd,FPB_mean,FPB_sd,OR_mean,OR_sd,TSS_mean,TSS_sd,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd
max,lpt,0.01554861,77,10000,1,0,0.7523,0.121609827,0.069121154,0.03128379,0.036018071,0.016998403,0.072036143,0.033996806,0,0,0.7523,0.121609827,0.95380744,0.018999357,0.963804528,0.022230535,0.936082347,0.007415889
max,max_fpb,0.97735784,77,10000,0.363095238,0.047850998,0.9982,0.002464752,0.469301713,0.116496161,0.312593371,0.098756787,0.625186741,0.197513575,0.636904762,0.047850998,0.361295238,0.049742983,0.95380744,0.018999357,0.963804528,0.022230535,0.936082347,0.007415889
max,max_jaccard,0.97735784,77,10000,0.363095238,0.047850998,0.9982,0.002464752,0.469301713,0.116496161,0.312593371,0.098756787,0.625186741,0.197513575,0.636904762,0.047850998,0.361295238,0.049742983,0.95380744,0.018999357,0.963804528,0.022230535,0.936082347,0.007415889
max,max_sens_spec,0.18802399,77,10000,0.936666667,0.04423344,0.8992,0.023362898,0.129354577,0.031390611,0.069392481,0.018086012,0.138784962,0.036172023,0.063333333,0.04423344,0.835866667,0.058583321,0.95380744,0.018999357,0.963804528,0.022230535,0.936082347,0.007415889
max,max_sorensen,0.97735784,77,10000,0.363095238,0.047850998,0.9982,0.002464752,0.469301713,0.116496161,0.312593371,0.098756787,0.625186741,0.197513575,0.636904762,0.047850998,0.361295238,0.049742983,0.95380744,0.018999357,0.963804528,0.022230535,0.936082347,0.007415889
max,sensitivity,0.19748673,77,10000,0.869761905,0.007923601,0.8478,0.144337105,0.112677883,0.050087816,0.060289917,0.027673677,0.120579834,0.055347353,0.130238095,0.007923601,0.717561905,0.141860202,0.95380744,0.018999357,0.963804528,0.022230535,0.936082347,0.007415889
max,equal_sens_spec,0.37944292,78,10000,0.910600233,0.026685685,0.8978,0.022709029,0.124708222,0.038358951,0.066860617,0.021996236,0.133721234,0.043992472,0.089399767,0.026685685,0.808400233,0.046455634,0.955704604,0.012272334,0.891743066,0.088785412,0.92291784,0.007183772
max,lpt,0.15605361,78,10000,1,0,0.876,0.033141741,0.114611307,0.02797019,0.060975692,0.01571265,0.121951384,0.0314253,0,0,0.876,0.033141741,0.955704604,0.012272334,0.891743066,0.088785412,0.92291784,0.007183772
max,max_fpb,0.75080575,78,10000,0.368047786,0.174213795,0.9872,0.007259477,0.243315508,0.0778972,0.140347709,0.05188807,0.280695417,0.10377614,0.631952214,0.174213795,0.355247786,0.169221728,0.955704604,0.012272334,0.891743066,0.088785412,0.92291784,0.007183772
max,max_jaccard,0.75080575,78,10000,0.368047786,0.174213795,0.9872,0.007259477,0.243315508,0.0778972,0.140347709,0.05188807,0.280695417,0.10377614,0.631952214,0.174213795,0.355247786,0.169221728,0.955704604,0.012272334,0.891743066,0.088785412,0.92291784,0.007183772
